1170077963 : 0 : [339, 6094, 480, 1282798155, 1158, 40, 0, 220L, 0, 23, 1L, 2L, 56, 90616.2]
1742663992 : 0 : [87, 3118, 584, 1274055670, 425, 626, 0, 220L, 1, 0, 1L, 1L, 53, 9630.2]
1888398847 : 0 : [146, 1045, 192, 1291996431, 353, 5, 0, 220L, 1, 9, 1L, 1L, 7, 266728.4]
1854784225 : 0 : [82, 438, 205, 1289509664, 181, 2, 0, -1L, 1, 22, 2L, 1L, 30, 51951.3]
2356956555 : 1 : [0, 13, 1, 1316010525, 29, 0, 0, -1L, 0, 0, 8L, 8L, 72, 378748.0]
2358870737 : 1 : [5, 63, 14, 1316067948, 50, 0, 0, -1L, 0, 0, 4L, 4L, 73, 463897.9]
1780660412 : 1 : [23, 2546, 952, 1312933627, 121, 0, 0, -1L, 0, 0, 2L, 1L, 18, 77595.7]
1681817871 : 0 : [768, 8198, 973, 1264479726, 22297, 2, 1, 0, 1, 63, 3L, 2L, 79, 18025.9]
1857385341 : 0 : [27, 120, 41, 1290633690, 134, 0, 0, -1L, 0, 0, 3L, 3L, 70, 2461786.2]
1275887610 : 0 : [364, 4072, 487, 1251430997, 248881, 1966, 1, 0, 1, 25, 149L, 53L, 39, 117256.3]
2134564134 : 1 : [65, 1335, 431, 1304653673, 197, 6, 0, -1L, 0, 23, 0, 1L, 30, 272525.2]
2396776774 : 1 : [1, 5, 3, 1316109084, 7, 0, 0, -1L, 1, 0, 3L, 2L, 87, 4483543.8]
1217743083 : 0 : [2356, 41495, 2431, 1251495249, 2534788, 190, 1, 0, 1, 19, 56L, 18L, 31, 2137.9]
1655703354 : 0 : [449, 2724, 542, 1256320760, 15482, 12, 1, 0, 1, 43, 3L, 6L, 46, 65844.9]
2397191482 : 1 : [1, 16, 5, 1316119765, 41, 0, 0, -1L, 0, 0, 3L, 3L, 85, 522934.0]
2358921547 : 1 : [19, 86, 46, 1316076229, 135, 0, 0, -1L, 1, 0, 4L, 4L, 45, 275463.2]
1197362373 : 0 : [659, 681, 691, 1251495248, 583133, 1, 1, 0, 1, 40, 1973L, 795L, 103, 69799.1]
3478547737 : 0 : [23, 381, 438, 1371399776, 371, 0, 0, -1L, 1, 14, 0, 0, 57, 25148.1]
3224629551 : 1 : [151, 1448, 914, 1359839549, 184, 0, 0, -1L, 1, 0, 0, 0, 60, 1.6]
2840961215 : 1 : [1, 909, 998, 1345605690, 151, 0, 0, -1L, 0, 0, 0, 0, 62, 0.3]
2357617357 : 1 : [0, 13, 1, 1316010479, 26, 0, 0, -1L, 0, 0, 9L, 9L, 85, 458115.8]
1687429295 : 0 : [264, 9752, 282, 1264805946, 3578195, 88, 1, 0, 0, 121, 542L, 411L, 51, 12717.3]
1748798207 : 0 : [68, 475, 135, 1275281538, 304, 3, 0, -1L, 0, 7, 1L, 7L, 25, 865855.0]
1723981287 : 0 : [1375, 760, 2030, 1270250291, 681544, 2721, 0, -1L, 1, 35, 579L, 93L, 46, 259959.6]
1173250791 : 0 : [20, 32, 53, 1331735040, 47, 2, 0, -1L, 0, 7, 6L, 6L, 36, 1608269.5]
2145393257 : 0 : [61, 406, 141, 1306546170, 828, 0, 0, 220L, 1, 27, 1L, 4L, 23, 170980.1]
1863345842 : 0 : [253, 2700, 398, 1288289786, 867, 102, 1, 0, 1, 21, 1L, 1L, 10, 91399.2]
1884660880 : 0 : [25, 437, 58, 1290923770, 39227, 0, 0, -1L, 1, 9, 364L, 130L, 79, 684214.9]
1862370204 : 1 : [43, 2714, 1037, 1288117623, 152, 2, 0, 220L, 0, 4, 0, 0, 67, 1.1]
1767167227 : 0 : [1, 5797, 93, 1278185689, 60245, 0, 0, -1L, 0, 64, 29L, 14L, 87, 96968.1]
3101945993 : 0 : [81, 1250, 123, 1352689157, 414891, 0, 0, 220L, 0, 33, 3L, 1L, 26, 216.2]
1761863262 : 1 : [15, 47, 84, 1276531595, 55, 0, 0, -1L, 0, 0, 6L, 6L, 91, 52279.9]
1480263933 : 0 : [180, 1341, 249, 1308062601, 434, 66, 0, 220L, 0, 0, 1L, 2L, 94, 385003.5]
2396820682 : 1 : [2, 5, 5, 1316109072, 11, 0, 0, -1L, 1, 0, 3L, 3L, 98, 4484293.0]
1716240717 : 0 : [89, 712, 166, 1269276745, 6763, 1012, 1, 0, 1, 67, 5L, 5L, 43, 989273.5]
2687871303 : 0 : [1172, 1002, 1825, 1333145327, 19666, 0, 0, -1L, 1, 13, 5L, 4L, 62, 118538.2]
2360189607 : 1 : [1, 15, 6, 1316119934, 37, 0, 0, -1L, 1, 0, 4L, 4L, 72, 908732.5]
1839085741 : 0 : [137, 43, 215, 1288095795, 5645, 110, 0, 220L, 1, 55, 20L, 12L, 29, 103418.8]
2393940144 : 1 : [35, 270, 79, 1315977561, 64, 0, 0, -1L, 0, 0, 0, 0, 54, 146707.2]
3085281151 : 1 : [133, 7826, 1572, 1352151639, 511, 0, 0, 220L, 1, 0, 0, 0, 75, 155741.7]
1645171780 : 0 : [199, 1971, 245, 1252187715, 3192783, 586, 1, 0, 1, 31, 138L, 28L, 40, 107538.7]
2176899070 : 1 : [42, 948, 1099, 1309055831, 136, 0, 0, -1L, 1, 38, 0, 0, 91, 200874.7]
2458662731 : 1 : [78, 238, 162, 1321036607, 116, 0, 0, -1L, 1, 0, 44L, 6L, 29, 180340.7]
2893162867 : 1 : [0, 894, 648, 1342792796, 149, 0, 0, -1L, 0, 52, 0, 0, 71, 0.4]
1755370981 : 0 : [344, 2583, 412, 1276198361, 7559925, 98, 1, 0, 1, 33, 571L, 835L, 23, 34721.8]
2877181401 : 1 : [11, 1254, 884, 1341822526, 159, 0, 0, -1L, 0, 23, 0, 0, 62, 0.2]
2394287614 : 1 : [0, 9, 3, 1316012257, 8, 0, 0, -1L, 1, 0, 0, 0, 70, 338915.8]
1097605573 : 0 : [21, 64, 41, 1287724332, 76, 1, 0, -1L, 1, 0, 6L, 6L, 46, 1285952.1]
2549228714 : 0 : [2034, 5286, 2134, 1321867900, 597281, 178, 0, -1L, 1, 53, 671L, 144L, 81, 5796.1]
1741507222 : 0 : [311, 1183, 1028, 1273856626, 1869, 357, 1, 0, 0, 0, 2L, 2L, 41, 616847.1]
2506719595 : 1 : [0, 1170, 721, 1322882732, 14, 0, 0, -1L, 1, 17, 2L, 2L, 41, 15350.0]
1458045963 : 0 : [134, 3003, 191, 1252968481, 5687, 204, 1, 0, 0, 16, 22L, 3L, 58, 30801.1]
1838119110 : 0 : [65, 1846, 220, 1285988050, 340, 735, 0, 220L, 0, 18, 1L, 0, 15, 7563074.4]
1686396091 : 0 : [720, 1474, 1335, 1264479900, 1857, 920, 1, 0, 1, 1, 1L, 2L, 60, 146199.1]
1792942995 : 0 : [873, 763, 1168, 1281658181, 9459, 302, 1, 0, 1, 46, 3L, 2L, 13, 149778.9]
1888697973 : 0 : [12, 93, 59, 1292017550, 6238, 1, 0, -1L, 1, 13, 18L, 1L, 37, 243863.7]
3125331413 : 1 : [120, 768, 261, 1353138267, 397, 0, 0, 220L, 0, 38, 0, 0, 15, 19888.6]
1639449787 : 0 : [1490, 1879, 1965, 1251495293, 6454, 274, 1, 0, 1, 82, 2L, 5L, 28, 1118122.1]
2394335594 : 1 : [0, 16, 4, 1316012142, 33, 0, 0, -1L, 0, 0, 6L, 6L, 83, 582361.5]
1292380541 : 0 : [894, 5152, 1039, 1256074115, 451152, 81, 1, 0, 1, 83, 269L, 69L, 49, 22852.8]
3125335161 : 1 : [131, 845, 131, 1353138142, 237, 0, 0, 220L, 1, 22, 206L, 34L, 68, 457024.5]
3202998355 : 1 : [698, 603, 1369, 1355253309, 958, 0, 0, 220L, 0, 35, 0, 0, 13, 32453.5]
1563668535 : 0 : [136, 3091, 567, 1278997438, 332, 5, 0, -1L, 0, 4, 1L, 1L, 29, 43411.4]
1802217197 : 0 : [199, 1183, 252, 1282750533, 538, 170, 0, 220L, 1, 5, 0, 6L, 21, 30826.4]
2397192420 : 1 : [1, 17, 6, 1316119788, 41, 0, 0, -1L, 1, 0, 3L, 3L, 84, 522956.8]
2846657143 : 1 : [1, 1531, 829, 1341269318, 177, 0, 0, -1L, 0, 14, 0, 0, 61, 12099.0]
1843443790 : 0 : [19, 41904, 41, 1289056404, 3231172, 88, 0, -1L, 1, 9, 105L, 22L, 45, 401.9]
2746457200 : 0 : [2, 3262, 2, 1332769702, 1837952, 1, 0, -1L, 1, 47, 332L, 41L, 141, 17281.9]
2504438370 : 0 : [92, 2533, 126, 1320039793, 204449, 2, 0, -1L, 0, 78, 4L, 1L, 29, 900.2]
1401315450 : 0 : [258, 533, 300, 1265983308, 367, 11, 0, 220L, 1, 12, 1L, 3L, 15, 362867.2]
1436315954 : 1 : [2, 41, 64, 1306083319, 35, 0, 0, -1L, 0, 0, 2L, 2L, 50, 701415.0]
1111476151 : 1 : [213, 949, 1802, 1296397823, 3096, 0, 0, 220L, 0, 0, 2L, 3L, 95, 647419.8]
2841413417 : 1 : [12, 1263, 810, 1341093606, 171, 0, 0, -1L, 0, 27, 0, 0, 60, 0.2]
2394288552 : 1 : [0, 14, 6, 1316012301, 11, 0, 0, -1L, 0, 0, 9L, 9L, 77, 970404.1]
2785462944 : 0 : [55, 3057, 139, 1335611067, 24088, 4, 0, -1L, 1, 64, 15L, 13L, 77, 36589.0]
1678746033 : 0 : [745, 9303, 846, 1262878197, 1890, 1, 0, 220L, 1, 35, 12L, 1L, 28, 33215.2]
2396818484 : 1 : [10, 45, 21, 1316109011, 24, 0, 0, -1L, 1, 0, 4L, 4L, 76, 1944828.9]
2396597724 : 1 : [0, 13, 3, 1316104051, 46, 0, 0, -1L, 0, 0, 3L, 2L, 81, 484970.5]
2552134982 : 0 : [471, 1428, 526, 1321997826, 373442, 40, 0, -1L, 0, 73, 418L, 145L, 93, 77751.6]
1497041707 : 0 : [358, 10815, 2328, 1255481229, 2359, 496, 1, 0, 0, 34, 1L, 2L, 51, 19598.8]
2396597310 : 1 : [1, 15, 7, 1316102890, 10, 0, 0, -1L, 0, 0, 3L, 3L, 67, 2106812.7]
1279926132 : 0 : [137, 2509, 222, 1263165513, 178, 46, 0, -1L, 0, 7, 8L, 10L, 22, 181985.4]
1067146244 : 0 : [57, 56, 225, 1292251349, 116, 13, 0, -1L, 0, 0, 1L, 1L, 38, 1622098.6]
2394338254 : 1 : [0, 15, 4, 1316012187, 33, 0, 0, -1L, 1, 0, 4L, 3L, 84, 581385.1]
2360189023 : 1 : [0, 15, 6, 1316119911, 37, 0, 0, -1L, 0, 0, 4L, 4L, 71, 908700.0]
2396225194 : 1 : [39, 71, 82, 1316090155, 115, 0, 0, -1L, 1, 0, 5L, 6L, 60, 424446.1]
1409243997 : 0 : [140, 1913, 270, 1264534002, 3390, 119, 1, 0, 1, 34, 4L, 1L, 48, 129773.0]
2358309175 : 1 : [9, 59, 30, 1316089839, 127, 0, 0, -1L, 1, 0, 3L, 2L, 83, 355278.0]
2360184107 : 1 : [1, 19, 6, 1316119709, 43, 0, 0, -1L, 0, 0, 4L, 4L, 87, 505210.2]
2966500204 : 1 : [16, 226, 684, 1345844952, 335, 0, 0, -1L, 0, 0, 0, 0, 84, 29600.4]
1672347363 : 0 : [166, 2827, 376, 1261440468, 383, 75, 0, -1L, 0, 10, 0, 4L, 49, 17846.7]
1737607203 : 0 : [245, 993, 546, 1272999632, 536, 1, 0, 220L, 1, 0, 0, 0, 21, 1124345.6]
1654267613 : 0 : [610, 1848, 997, 1255755624, 7046, 536, 1, 0, 0, 17, 3L, 1L, 117, 299857.1]
2395985430 : 1 : [4, 64, 12, 1316067975, 45, 0, 0, -1L, 0, 0, 3L, 3L, 73, 413288.9]
2394239734 : 1 : [0, 14, 1, 1316010509, 25, 0, 0, -1L, 1, 0, 7L, 7L, 71, 378797.7]
1650020030 : 0 : [162, 1081, 606, 1254062721, 816, 8, 0, -1L, 1, 6, 1L, 2L, 28, 319498.2]
3133232417 : 1 : [13, 700, 1093, 1353396713, 173, 0, 0, -1L, 1, 9, 3L, 1L, 9, 98879.3]
1746090383 : 0 : [421, 3599, 555, 1274716415, 1881, 106, 1, 0, 1, 30, 0, 4L, 93, 70187.3]
1878923963 : 0 : [143, 2801, 153, 1291217774, 3202860, 2679, 1, 0, 1, 14, 245L, 101L, 79, 18042.5]
2397184742 : 1 : [0, 14, 3, 1316119564, 38, 0, 0, -1L, 0, 0, 3L, 3L, 88, 505194.8]
1227636382 : 0 : [4, 253, 5, 1251494055, 2240012, 0, 1, 0, 0, 0, 494L, 81L, 69, 118351.4]
3150742674 : 1 : [18, 2735, 1225, 1359749964, 133, 0, 0, -1L, 1, 0, 0, 0, 31, 45926.0]
1853696803 : 0 : [113, 607, 226, 1308363651, 322, 135, 0, 220L, 0, 0, 2L, 1L, 24, 139720.2]
1707679453 : 0 : [111, 2065, 128, 1268178223, 8897449, 2, 1, 0, 1, 63, 380L, 352L, 13, 38660.1]
3298018147 : 1 : [2, 600, 388, 1362243964, 100, 0, 0, -1L, 0, 0, 4L, 4L, 89, 807354.4]
2397142110 : 1 : [0, 15, 3, 1316119570, 41, 0, 0, -1L, 1, 0, 3L, 3L, 89, 505206.7]
2987785905 : 1 : [21, 2368, 1319, 1349667994, 169, 0, 0, -1L, 1, 24, 0, 0, 61, 0.2]
1816011541 : 0 : [126, 2136, 103, 1284064370, 44264401, 346, 1, 0, 0, 60, 9211L, 1290L, 68, 65193.0]
1601566041 : 0 : [188, 3582, 558, 1269928690, 8094, 545, 1, 0, 1, 34, 2L, 1L, 17, 69228.1]
2421912342 : 1 : [13, 245, 605, 1316920903, 346, 0, 0, -1L, 0, 0, 0, 0, 38, 48222.3]
1277540817 : 0 : [1701, 4825, 1773, 1251992422, 43438, 426, 1, 0, 1, 71, 4L, 2L, 22, 371600.8]
1025516351 : 0 : [1595, 3566, 2149, 1255710351, 40994, 3, 1, 0, 1, 12, 2L, 1L, 80, 20998.0]
2497499492 : 1 : [9, 248, 618, 1319762962, 340, 1, 0, -1L, 1, 0, 0, 0, 49, 28439.1]
1180311243 : 0 : [1276, 1035, 1981, 1264181153, 1644, 6, 0, 220L, 1, 47, 1L, 3L, 34, 665388.0]
1757328171 : 0 : [62, 6993, 186, 1276400482, 552, 340, 0, -1L, 0, 53, 1L, 3L, 13, 9103.9]
1784737102 : 0 : [270, 2676, 640, 1280788240, 382, 467, 0, -1L, 0, 0, 1L, 5L, 42, 47740.7]
2397148852 : 1 : [1, 16, 5, 1316119765, 40, 0, 0, -1L, 1, 0, 4L, 4L, 86, 522952.8]
1180467280 : 0 : [157, 1567, 284, 1287687603, 286, 15, 1, 0, 1, 7, 1L, 1L, 10, 58952.6]
2194828294 : 1 : [54, 479, 156, 1309061939, 165, 0, 0, -1L, 0, 0, 0, 0, 45, 105918.0]
1785419492 : 0 : [147, 594, 668, 1280806197, 433, 32, 0, 220L, 1, 9, 1L, 3L, 55, 107970.5]
2394285274 : 1 : [0, 10, 3, 1316012235, 11, 0, 0, -1L, 1, 0, 0, 1L, 84, 580798.4]
1712285757 : 0 : [87, 11203, 105, 1268772987, 5585, 607, 1, 0, 0, 82, 3L, 1L, 13, 14280.6]
1933328041 : 0 : [103, 2501, 511, 1295926998, 300, 99, 0, 220L, 1, 13, 2L, 1L, 19, 48868.1]
1747292654 : 0 : [61, 729, 149, 1288306797, 99, 0, 0, -1L, 1, 0, 1L, 2L, 20, 51158.3]
2141035491 : 0 : [341, 1522, 450, 1306372937, 72503, 21, 1, 0, 1, 77, 99L, 78L, 73, 117249.4]
2141348155 : 0 : [290, 458, 414, 1306273549, 211817, 0, 0, -1L, 0, 36, 67L, 11L, 28, 19060.9]
2396659502 : 1 : [0, 21, 3, 1316105926, 35, 0, 0, -1L, 1, 0, 7L, 7L, 56, 710276.3]
2640624780 : 1 : [0, 62, 16, 1325176657, 27, 0, 0, -1L, 0, 0, 3L, 4L, 39, 105557.7]
2415965727 : 0 : [0, 1948, 42, 1318883872, 635408, 0, 0, -1L, 1, 63, 243L, 10L, 87, 77579.8]
1672785037 : 0 : [198, 1043, 217, 1261539935, 837225, 28, 1, 0, 0, 50, 197L, 162L, 41, 147963.2]
1972612492 : 0 : [8, 13634, 36, 1305211967, 408231, 0, 0, -1L, 0, 27, 79L, 16L, 43, 9720.2]
3288014707 : 1 : [17, 1607, 1055, 1361375119, 123, 0, 0, -1L, 0, 0, 0, 0, 4, 5.4]
2214257545 : 0 : [91, 9721, 179, 1309636863, 2546044, 18, 0, -1L, 1, 18, 981L, 238L, 77, 7697.8]
1238218467 : 0 : [74, 3965, 80, 1264544833, 36819, 0, 1, 0, 0, 61, 538L, 113L, 118, 234993.9]
2397184300 : 1 : [0, 14, 3, 1316119553, 37, 0, 0, -1L, 0, 0, 4L, 4L, 86, 505175.9]
3235985857 : 1 : [98, 1688, 1168, 1359996857, 216, 0, 0, -1L, 0, 0, 0, 1L, 87, 708104.3]
1558247760 : 0 : [786, 8454, 1130, 1268672186, 201637, 1187, 1, 0, 1, 14, 18L, 12L, 42, 9237.0]
1767125155 : 0 : [42, 5943, 134, 1278182261, 589094, 4, 0, -1L, 1, 51, 115L, 21L, 80, 49362.0]
1682393797 : 0 : [133, 3294, 298, 1263602850, 1654, 2553, 1, 0, 0, 49, 3L, 4L, 63, 25203.5]
3079059603 : 1 : [0, 6, 7, 1351520009, 51, 0, 0, -1L, 0, 0, 7L, 0, 38, 2648368.5]
2847739095 : 1 : [3, 1337, 810, 1341270011, 213, 0, 0, -1L, 1, 0, 0, 0, 60, 0.4]
1988822892 : 1 : [1, 37, 189, 1339641130, 30, 0, 0, -1L, 1, 0, 2L, 2L, 75, 458353.3]
2633437225 : 0 : [8, 4337, 46, 1329414278, 132176, 1, 0, -1L, 1, 21, 14L, 5L, 78, 7603.6]
2464085481 : 1 : [3, 253, 116, 1321325071, 61, 0, 0, -1L, 0, 0, 0, 1L, 36, 160459.2]
3480075410 : 1 : [39, 275, 420, 1371874823, 510, 0, 0, -1L, 1, 42, 0, 1L, 56, 29825.6]
2396179582 : 1 : [81, 72, 173, 1316090355, 165, 0, 0, -1L, 1, 0, 3L, 3L, 48, 355610.7]
3195625703 : 1 : [678, 466, 1392, 1355064974, 1343, 0, 0, 220L, 0, 46, 0, 0, 11, 40789.9]
1650446961 : 0 : [431, 4905, 871, 1254242600, 1458, 565, 0, 220L, 0, 86, 2L, 1L, 22, 208866.4]
2396714032 : 1 : [0, 22, 3, 1316105991, 47, 0, 0, -1L, 0, 0, 6L, 6L, 61, 831376.2]
3246737212 : 1 : [0, 63, 251, 1364171147, 19, 18, 0, -1L, 0, 0, 0, 0, 94, 303886.3]
2397183384 : 1 : [0, 14, 3, 1316119516, 37, 0, 0, -1L, 1, 0, 3L, 3L, 87, 465660.0]
2919332482 : 1 : [57, 1987, 1426, 1344037953, 200, 0, 0, -1L, 0, 0, 0, 0, 16, 8931.8]
1540235731 : 0 : [28, 3370, 31, 1279845824, 356773, 0, 0, -1L, 0, 22, 67L, 7L, 25, 7999.6]
2396224052 : 1 : [29, 78, 65, 1316090038, 102, 0, 0, -1L, 0, 0, 6L, 6L, 51, 402917.4]
1650044217 : 0 : [336, 3099, 533, 1254070186, 17682, 30, 1, 0, 1, 92, 8L, 4L, 53, 142727.5]
1791342943 : 1 : [13, 2649, 1300, 1355013898, 116, 0, 0, -1L, 0, 0, 0, 0, 66, 0.3]
2982741581 : 1 : [62, 6672, 1903, 1349560407, 269, 0, 0, 220L, 0, 22, 0, 0, 75, 11532.2]
1223738525 : 1 : [4, 1143, 2000, 1323993486, 120, 0, 0, -1L, 1, 0, 0, 1L, 9, 41776.4]
1835776251 : 0 : [119, 892, 438, 1287720634, 307, 258, 0, -1L, 0, 11, 3L, 1L, 25, 67715.9]
1623184992 : 0 : [14, 1563, 40, 1270520086, 82, 146, 0, -1L, 1, 21, 0, 2L, 38, 25828.0]
1924023143 : 0 : [196, 1371, 314, 1295282338, 553, 2, 1, 0, 1, 0, 1L, 1L, 32, 214566.4]
2183282092 : 0 : [54, 629, 280, 1308576798, 182, 313, 0, 220L, 0, 19, 1L, 1L, 32, 583928.7]
2341786404 : 0 : [425, 998, 903, 1314311687, 153592, 29, 1, 0, 1, 53, 77L, 5L, 132, 155098.0]
1953699711 : 0 : [99, 16, 499, 1297022764, 385, 0, 0, -1L, 0, 13, 5L, 1L, 127, 632735.6]
2837493023 : 1 : [8, 1442, 962, 1340952570, 152, 0, 0, -1L, 0, 35, 0, 0, 66, 0.6]
1852861332 : 0 : [149, 681, 279, 1287070378, 6548, 85, 0, 220L, 1, 21, 8L, 6L, 90, 204120.8]
1198251274 : 0 : [583, 14536, 687, 1251495364, 7882268, 217, 1, 0, 0, 47, 428L, 52L, 22, 341.1111111111111]
1227128257 : 0 : [432, 4801, 1172, 1276286890, 6356, 2, 1, 0, 1, 34, 3L, 3L, 12, 90370.1]
2556712865 : 1 : [0, 64, 8, 1325014751, 31, 0, 0, -1L, 0, 0, 2L, 2L, 45, 91425.4]
2835485954 : 1 : [44, 4923, 1027, 1339835634, 164, 0, 0, 220L, 0, 0, 0, 1L, 50, 8.6]
3272903411 : 1 : [108, 255, 354, 1364056352, 571, 0, 0, -1L, 0, 30, 2L, 2L, 80, 600534.9]
2050779160 : 1 : [5, 49, 92, 1301590641, 53, 0, 0, -1L, 1, 0, 5L, 5L, 56, 410320.2]
1715951661 : 0 : [167, 1777, 360, 1269230337, 426, 522, 0, 220L, 1, 13, 0, 5L, 49, 164822.22222222222]
3304851351 : 1 : [0, 1004, 1343, 1362929207, 202, 0, 0, -1L, 0, 27, 2L, 2L, 58, 403765.7]
1510085341 : 1 : [32, 50, 228, 1289856842, 63, 0, 0, -1L, 0, 0, 2L, 2L, 78, 212899.0]
1786028075 : 0 : [106, 6153, 273, 1291122875, 523, 159, 0, 220L, 1, 17, 2L, 1L, 26, 249329.2]
2259529755 : 0 : [97, 370, 170, 1311197170, 216, 172, 0, -1L, 0, 49, 1L, 7L, 32, 1605100.1]
2397144562 : 1 : [0, 15, 2, 1316119637, 33, 0, 0, -1L, 0, 0, 4L, 4L, 83, 505139.1]
3061779401 : 0 : [15, 357, 92, 1350859284, 35, 78, 0, -1L, 1, 0, 0, 0, 29, 45803.7]
3102803363 : 0 : [94, 2716, 1053, 1358315099, 865, 0, 0, 220L, 1, 0, 0, 0, 51, 26425.3]
1644284007 : 0 : [336, 9570, 467, 1251841373, 102206, 371, 1, 0, 1, 21, 374L, 30L, 34, 36497.2]
2249392360 : 1 : [24, 249, 760, 1324180855, 329, 0, 0, -1L, 1, 0, 0, 0, 98, 366283.7]
1869258012 : 0 : [21, 101, 70, 1288988160, 1525, 0, 0, -1L, 1, 30, 8L, 9L, 79, 1711151.6]
2815658151 : 1 : [0, 1044, 927, 1344012996, 521, 0, 0, -1L, 1, 0, 0, 0, 61, 0.4]
2356991845 : 1 : [0, 13, 5, 1316012281, 20, 0, 0, -1L, 1, 0, 9L, 9L, 84, 955639.4]
2396659282 : 1 : [0, 24, 57, 1316105899, 35, 0, 0, -1L, 1, 0, 5L, 5L, 58, 710433.5]
1759525901 : 0 : [48, 476, 92, 1276907189, 2517, 12, 1, 0, 0, 0, 4L, 6L, 43, 1906246.3]
1766683042 : 0 : [23, 53, 28, 1277562444, 54, 3, 0, -1L, 0, 13, 5L, 3L, 39, 5892213.7]
1642069525 : 0 : [957, 4357, 975, 1251323158, 23458, 49, 1, 0, 1, 12, 4L, 4L, 24, 51419.7]
3552439672 : 0 : [62, 350, 465, 1371864232, 476, 0, 0, -1L, 0, 14, 0, 0, 52, 29387.3]
1928916060 : 0 : [174, 665, 443, 1296335639, 329, 51, 0, 220L, 0, 16, 2L, 7L, 45, 1361588.0]
1879393492 : 0 : [121, 6990, 241, 1291047561, 409159, 1625, 0, -1L, 0, 38, 34L, 5L, 64, 14240.2]
2396818664 : 1 : [6, 16, 10, 1316109033, 19, 0, 0, -1L, 1, 0, 5L, 3L, 48, 1458923.8]
1820704450 : 0 : [35, 146, 45, 1284763626, 70980, 0, 0, -1L, 1, 51, 54L, 72L, 60, 220695.3]
2890809484 : 1 : [3, 1485, 1015, 1344185852, 229, 0, 0, -1L, 0, 24, 0, 0, 65, 0.7]
2358309811 : 1 : [47, 107, 69, 1316089901, 246, 0, 0, -1L, 0, 0, 6L, 6L, 54, 467146.9]
2396223832 : 1 : [33, 72, 74, 1316090048, 101, 0, 0, -1L, 1, 0, 5L, 5L, 71, 534326.5]
3223112352 : 1 : [0, 464, 323, 1364223787, 159, 0, 0, -1L, 1, 26, 0, 0, 38, 3.3]
1243281190 : 0 : [23, 605, 74, 1288971696, 62, 44, 0, -1L, 1, 12, 0, 0, 33, 635832.1]
1255849511 : 0 : [323, 4039, 412, 1251495253, 8446321, 54, 1, 0, 1, 11, 1031L, 994L, 68, 78717.5]
2505756050 : 1 : [13, 241, 648, 1320105392, 342, 0, 0, -1L, 0, 0, 0, 0, 100, 366284.4]
2130445691 : 1 : [36, 3268, 1554, 1305224329, 138, 4, 0, -1L, 0, 0, 0, 1L, 27, 89703.2]
1935560615 : 0 : [32, 51, 47, 1296083957, 71, 0, 0, -1L, 0, 0, 0, 3L, 42, 438337.5]
3276485751 : 0 : [36, 59, 54, 1367858919, 72, 3, 0, -1L, 0, 12, 1L, 5L, 42, 14792.3]
2396776244 : 1 : [2, 5, 4, 1316109072, 2, 0, 0, -1L, 0, 0, 3L, 3L, 98, 4484280.0]
2088601913 : 0 : [191, 793, 232, 1302909510, 9810, 7, 0, -1L, 1, 61, 39L, 4L, 149, 166553.6]
2094332313 : 0 : [1450, 12902, 1995, 1303231689, 1060741, 76, 0, -1L, 0, 52, 140L, 37L, 110, 7722.4]
3294502391 : 1 : [56, 4460, 860, 1361998041, 120, 0, 0, -1L, 1, 0, 0, 0, 51, 3432.3]
2396295350 : 1 : [0, 18, 2, 1316094245, 35, 0, 0, -1L, 0, 0, 3L, 3L, 84, 484349.8]
1762700155 : 0 : [594, 30112, 1962, 1277496834, 746579, 466, 0, -1L, 0, 15, 69L, 31L, 37, 509.9]
1750482957 : 0 : [115, 1510, 209, 1275610839, 1036, 3, 0, 220L, 0, 22, 1L, 4L, 84, 264419.3]
3202998555 : 1 : [667, 471, 669, 1355253311, 931, 0, 0, 220L, 0, 24, 0, 0, 34, 76169.3]
1243534965 : 0 : [653, 6836, 975, 1267638920, 2689, 1593, 0, 220L, 1, 12, 0, 1L, 70, 169894.6]
2473015421 : 1 : [66, 233, 110, 1321649766, 89, 0, 0, -1L, 1, 11, 51L, 12L, 40, 138531.9]
1708739134 : 0 : [1413, 8280, 1428, 1268327952, 230239, 9, 1, 0, 1, 8, 36L, 19L, 54, 10019.5]
2919564312 : 1 : [43, 1983, 1066, 1344071304, 180, 0, 0, -1L, 1, 0, 0, 0, 4, 9438.1]
2396034334 : 1 : [10, 75, 18, 1316067950, 51, 0, 0, -1L, 0, 0, 3L, 3L, 73, 463902.9]
2698914993 : 1 : [25, 240, 648, 1333906293, 323, 0, 0, -1L, 1, 0, 0, 1L, 96, 52170.4]
2431578944 : 0 : [26, 6420, 68, 1317328123, 783124, 0, 0, -1L, 0, 27, 193L, 45L, 41, 5309.8]
2292247607 : 1 : [11, 84, 163, 1312831201, 59, 0, 0, -1L, 0, 0, 7L, 7L, 84, 20041.9]
2560366443 : 1 : [78, 189, 122, 1325179933, 99, 0, 0, -1L, 0, 0, 47L, 12L, 27, 138493.3]
2356866195 : 1 : [0, 17, 5, 1316005636, 36, 0, 0, -1L, 0, 0, 5L, 5L, 63, 1028065.3]
2396714454 : 1 : [0, 16, 3, 1316106025, 52, 0, 0, -1L, 0, 0, 5L, 5L, 68, 916394.0]
